Handle,Command,Variant Command,Variant SKU,Variant Weight,Variant Weight Unit
rheem-30-gallon-6-kw-208-v-light-duty-commercial-electric-water-heater-with-fused-terminal-block-short,UPDATE,UPDATE,RHEE-ELDS30-FTB-208,350.0,lb
advanced-electrode-humidifier-valve-kit,UPDATE,UPDATE,HONE-HM750AVKIT/U,7.0,lb
advanced-electrode-humidifier-replacement-cylinder,UPDATE,UPDATE,HONE-HM750ACYL/U,7.0,lb
advanced-electrode-humidifier-replacement-pc-board,UPDATE,UPDATE,HONE-HM750APCB/U,7.0,lb
foot-mounted-actuator,UPDATE,UPDATE,HONE-M847A1072/U,7.0,lb
logan-square-s-rim-lav-23-63x18-13-4cc-white,UPDATE,UPDATE,GERB-12-875,31.0,lb
8-gallon-expansion-tank-hydronic-heating,UPDATE,UPDATE,CALA-HGT60,10.0,lb
3-in-1-disposal-flange,UPDATE,UPDATE,BLAN-441232,3.0,lb
3-in-1-basket-strainer,UPDATE,UPDATE,BLAN-441231,3.0,lb
975xl-complete-rubber-repair-kit-compatible-with-the-1-1-4-2-model-975xl-and-975xl2,UPDATE,UPDATE,WILK-RK114-975XLR,2.9,lb
3-4-1-model-975xl-xl2-rubber-repair-kit,UPDATE,UPDATE,WILK-RK34-975XLR,2.9,lb
1-4-in-npt-connection-tridicator-with-1-21-32-in,UPDATE,UPDATE,HONE-TD-090/U,2.19,lb
1-2-in-npt-connection-tridicator-with-29-32-in-stem,UPDATE,UPDATE,HONE-TDV-040/U,2.19,lb
1-1-4-2-air-gap-fitting-compatible-with-model-375-375xl,UPDATE,UPDATE,WILK-AG-12,2.0,lb
electromechanical-relay-without-transformer,UPDATE,UPDATE,HONE-RC840/U,1.5,lb
electromechanical-relay-with-24-v-to-120-v-transformer,UPDATE,UPDATE,HONE-RC840T-120/U,1.5,lb
1-2-1-air-gap-fitting-compatible-with-model-375-375xl,UPDATE,UPDATE,WILK-AG-11,1.0,lb
push-pull-showerarm-diverter-chrome,UPDATE,UPDATE,GERB-D481350,1.0,lb
push-pull-showerarm-diverter-brushed-nickel,UPDATE,UPDATE,GERB-D481350BN,1.0,lb
rubber-and-springs-repair-kit-compatible-with-the-1-4-1-2-model-975xl-and-975xl2-and-3-8-1-2-975xlst,UPDATE,UPDATE,WILK-RK14-975XL,0.6,lb
1-4-1-2-975xl-xl2-complete-poppets-springs-and-seats-repair-kit,UPDATE,UPDATE,WILK-RK14-975XLC,0.6,lb
3-4-1-model-950xl-standard-repair-kit,UPDATE,UPDATE,WILK-RK34-950XL,0.6,lb
6-showerarm-w-escutcheon-chrome,UPDATE,UPDATE,GERB-D481136,0.5,lb
6-showerarm-w-escutcheon-brushed-bronze,UPDATE,UPDATE,GERB-D481136BB,0.5,lb
color-coordinated-metal-waste-flange-truffle,UPDATE,UPDATE,BLAN-240332,0.5,lb
